Name,ForeignID,Street,Bandar,Postcode,State,District,"Region (North, South, East or Central)",Country Code,Email,Telephone,Mobile,Accessibilty Roadtanker,Binary opening weekdays string,Actual max. size,"Latitude/Longitude, Road",Distribution Channel for SAP field,User Min Stock,User Max Stock,Status,Sold to Name,Sold to ID,ShipTo ID,Sales Organisation for SAP field,"Position Method, Road","Position Method, Home",POI,Overridden terminal for 97,Opening time,No delivery start 2,No delivery start 1,No delivery end 2,No delivery end 1,Name2,Monthly Diesel Quota,Marked for export,"Latitude/Longitude, Home",Last changed by user,Last changed,House Suffix,House Number,GPS-validated,Fax,Division for SAP field,Default terminal,CUSTOMERINFOTEXT23,Customer type,Created by user,Created,Country,"Coordinate, Road","Coordinate, Home",Contact Name,Closing time,Alternative Street,Address District
2 RRD - KEM JALAN TAMBUN,80001552,"JALAN HOSPITAL, ,",IPOH,30450,PER,COMNAT,NORTH,PEN,,135070148,,32760,1111110,,"(4.602182, 101.096767)",CO,,,Default,2 RRD - KEM JALAN TAMBUN,90004707,80001552,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.602182, 101.096767)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(732622, 509032)","(732622, 509032)",,17:00:00,,- Invalid -
21 RAMD KEM PENGKALAN CHEPA,80001638,"ANGKATAN TENTERA MALAYSIA, ,",KOTA BHARU,17500,KEL,COMNAT,,PEN,,135070148,,32760,1111110,,"(6.131977, 102.253762)",CO,,,Default,21 RAMD KEM PENGKALAN CHEPA,90004715,80001638,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.131977, 102.253762)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(860195, 678887)","(860195, 678887)",,17:00:00,,- Invalid -
24 RAMD KEM RASAH,80001620,"ANGKATAN TENTERA MALAYSIA, ,",SEREMBAN,71500,SER,COMNAT,SOUTH,PEN,,135070148,,27300,1111110,,"(2.693977, 101.935893)",CO,,,Default,24 RAMD KEM RASAH,90004710,80001620,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.693977, 101.935893)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(826476, 298161)","(826476, 298161)",,17:00:00,,- Invalid -
3 REJIMEN SEMPADAN KEM PENGKALAN HU,80001536,"KEM PENGKALAN HULU, ANGKATAN TENTERA MALAYSIA, KEM PENGKALAN HULU",KROH,33100,PER,COMNAT,,PEN,,135070148,,21840,1111110,,"(5.700058, 100.993364)",CO,,,Default,3 REJIMEN SEMPADAN KEM PENGKALAN HU,90004706,80001536,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.700058, 100.993364)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(720766, 630430)","(720766, 630430)",,17:00:00,,- Invalid -
4 REJIMEN SEMBOYAN DIRAJA,80000354,"KEM ERSKINE, ,",KUALA KUBU BHARU,44000,SEL,COMNAT,,PEN,,135070148,,10920,1111110,,"(3.610345, 101.684079)",CO,,,Default,4 REJIMEN SEMBOYAN DIRAJA,90004709,80000354,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.610345, 101.684079)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(798191, 399497)","(798191, 399497)",,17:00:00,,- Invalid -
4 REJIMEN SEMPADAN GERIK,80001535,"ASKAR WATANIAN(AW) KEM GRIK, ANGKATAN TENTERA MALAYSIA, KEM GRIK",GRIK,33300,PER,COMNAT,NORTH,PEN,,135070148,,21840,1111110,,"(5.435209, 101.123145)",CO,,,Default,4 REJIMEN SEMPADAN GERIK,90004706,80001535,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.435209, 101.123145)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(735251, 601185)","(735251, 601185)",,17:00:00,,- Invalid -
4 RRD - KEM ORAN,80001521,"KEM ORAN, ,",KANGAR,1990,PEL,COMNAT,NORTH,PEN,,135070148,,32760,1111110,,"(6.386187, 100.182883)",CO,,,Default,4 RRD - KEM ORAN,90004704,80001521,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.386187, 100.182883)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(630823, 706045)","(630823, 706045)",,17:00:00,,- Invalid -
"5 RAMD, KEM BT 3",80003463,"JALAN MERSING, ,",KELUANG,86000,JOH,COMNAT,,PEN,,135070148,,27300,1111110,,"(2.219327, 103.545460)",CO,,,Default,"5 RAMD, KEM BT 3",90004712,80003463,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.219327, 103.545460)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M829,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(1005952, 246082)","(1005952, 246082)",,17:00:00,,- Invalid -
5 RS - KEM BUKIT KAYU HITAM,80037645,"305 BATALION INFANTRI, ASKAR WATANIAH KEM BKT KAYU HITAM,",CHANGLOON,6050,KED,COMNAT,,PEN,,135070148,,27300,1111110,,"(6.489435, 100.416126)",CO,,,Default,5 RS - KEM BUKIT KAYU HITAM,90004704,80037645,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.489435, 100.416126)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(656592, 717527)","(656592, 717527)",,17:00:00,,- Invalid -
"5,BATALION 31, ATELERY",80000359,"STESEN TUDM, ,",KUALA LUMPUR,57000,PSK,COMNAT,,PEN,,135070148,,10920,1111110,,"(3.109372, 101.695952)",CO,,,Default,"5,BATALION 31, ATELERY",90004709,80000359,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.109372, 101.695952)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(799664, 344065)","(799664, 344065)",,17:00:00,,- Invalid -
"6 RAMD - KEM TOK JALAI, KEPALA BATA",80045725,"NO 12, PLATOON BEKALAN, JKEM BUKIT PINANG, KEPALA BATAS,",ALOR SETAR,1000,KED,COMNAT,,PEN,mohdzhafran@petronas.com.my,135070148,,32760,1111110,,"(6.250532, 100.419854)",CO,,,Default,"6 RAMD - KEM TOK JALAI, KEPALA BATA",90004704,80045725,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.250532, 100.419854)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(657077, 691111)","(657077, 691111)",,17:00:00,,- Invalid -
6 SKUADRON RAJD,80051081,"KEM BUKIT COWDER, MATA AIR,",MATA AIR,2500,PEL,COMNAT,NORTH,PEN,syahnazh_mohamad@petronas.com.my,,,32760,1111111,,"(6.444914, 100.204763)",CO,,,Default,6 SKUADRON RAJD,90004704,80051081,D001,,,Invalid,,8:00:00,,12:00:00,,12:30:00,,,FALSE,"(6.444914, 100.204763)",STARSPRD01_ImportServer,30/06/16 1:06,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,24/06/16 18:30,Malaysia,"(633228, 712544)","(633228, 712544)",,17:00:00,,- Invalid -
7 RENJER BATU 5 MENTAKAB,80001622,"ANGKATAN TENTERA MALAYSIA, ,",MENTAKAB,28400,PAH,COMNAT,,PEN,,135070148,,21840,1111110,,"(3.486169, 102.328348)",CO,,,Default,7 RENJER BATU 5 MENTAKAB,90004714,80001622,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.486169, 102.328348)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M839,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(869889, 385985)","(869889, 385985)",,17:00:00,,- Invalid -
72 BN KPD - KEM SABROAN,80001562,"PERKHIMATAN KEM VULTORNO, ,",TAIPING,34000,PER,COMNAT,,PEN,,135070148,,21840,1111110,,"(4.844772, 100.753434)",CO,,,Default,72 BN KPD - KEM SABROAN,90004708,80001562,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.844772, 100.753434)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(694451, 535757)","(694451, 535757)",,17:00:00,,- Invalid -
73 KOMPENI BEKALAN KP,80001613,"KEM TERENDAK, ,",TERENDAK,76200,MEL,COMNAT,,PEN,,135070148,,27300,1111110,,"(2.285206, 102.106244)",CO,,,Default,73 KOMPENI BEKALAN KP,90004711,80001613,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.285206, 102.106244)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(845544, 252959)","(845544, 252959)",,17:00:00,,- Invalid -
74 BATALION KP,80008427,"KEM SUNGAI BESI, ,",SUNGAI BESI,57000,PSK,COMNAT,,PEN,,135070148,,38220,1111110,,"(3.056820, 101.717808)",CO,,,Default,74 BATALION KP,90004709,80008427,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.056820, 101.717808)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(802110, 338256)","(802110, 338256)",,17:00:00,,- Invalid -
8 KOMPENI ANGKUT,80001640,"KEM BUKIT CHINA, ,",KETEREH,16450,KEL,COMNAT,,PEN,,135070148,,21840,1111110,,"(5.900004, 102.250001)",CO,,,Default,8 KOMPENI ANGKUT,90004715,80001640,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.900004, 102.250001)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(859931, 653201)","(859931, 653201)",,17:00:00,,- Invalid -
8 PLATUN BEKALAN,80001643,"KEM DESAS PAHLAWAN, ,",KOTA BHARU,16450,KEL,COMNAT,,PEN,,135070148,,21840,1111110,,"(5.898388, 102.232898)",CO,,,Default,8 PLATUN BEKALAN,90004715,80001643,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.898388, 102.232898)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(858036, 653011)","(858036, 653011)",,17:00:00,,- Invalid -
8 PLATUN BEKALAN KEM DESA,80001664,"PAHLAWAN TUDM, KEM DESA PAHLAWAN,",KOTA BHARU,45656,KEL,COMNAT,,PEN,,132221741,,10920,1111110,,"(5.898388, 102.232898)",CO,,,Default,8 PLATUN BEKALAN KEM DESA,90004728,80001664,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.898388, 102.232898)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M839,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(858036, 653011)","(858036, 653011)",,17:00:00,,- Invalid -
8 RAMD- KEM KUALA LIPIS,80001632,"ANGKATAN TENTERA MALAYSIA, KEM KUALA LIPIS,",KUALA LIPIS,27600,PAH,COMNAT,,PEN,,135070148,,21840,1111110,,"(4.184489, 101.988864)",CO,,,Default,8 RAMD- KEM KUALA LIPIS,90004709,80001632,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.184489, 101.988864)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M839,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(831855, 463152)","(831855, 463152)",,17:00:00,,- Invalid -
9 RAMD KEM TERENDAK,80001614,"KEM TERENDAK, ,",TERENDAK,76200,MEL,COMNAT,,PEN,,135070148,,21840,1111110,,"(2.285206, 102.106244)",CO,,,Default,9 RAMD KEM TERENDAK,90004711,80001614,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.285206, 102.106244)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(845544, 252959)","(845544, 252959)",,17:00:00,,- Invalid -
9 RENJER KEM TAIPING,80001561,"KEM TAIPING, ,",TAIPING,34000,PER,COMNAT,,PEN,,135070148,,21840,1111110,,"(4.844772, 100.753434)",CO,,,Default,9 RENJER KEM TAIPING,90004708,80001561,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.844772, 100.753434)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(694451, 535757)","(694451, 535757)",,17:00:00,,- Invalid -
92 DEPOH KENDERAAN PUSAT,80004909,"KEM BATU KANTOMEN, ,",KUALA LUMPUR,50634,PSK,COMNAT,,PEN,,135070148,,10920,1111110,,"(3.202258, 101.684108)",CO,,,Default,92 DEPOH KENDERAAN PUSAT,90004709,80004909,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.202258, 101.684108)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(798320, 354340)","(798320, 354340)",,17:00:00,,- Invalid -
93 DPP KEM MEMPAGA,80047961,"93 ATMDPH,, DEPOT PUSAT PELURU, KEM MEMPAGA",KARAK,28300,PAH,COMNAT,,PEN,zaharaz@petronas.com.my,135070148,,21840,1111110,,"(3.538884, 101.966265)",CO,,,Default,93 DPP KEM MEMPAGA,90004709,80047961,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.538884, 101.966265)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(829593, 391685)","(829593, 391685)",,17:00:00,,- Invalid -
931 ANGKUT KEM BATU KANTOMEN,80000351,"MARKAS 12 BRIDGE (RUMAH MASAK), JALAN IPOH,",KUALA LUMPUR,68100,PSK,COMNAT,,PEN,,135070148,,32760,1111110,,"(3.226854, 101.671747)",CO,,,Default,931 ANGKUT KEM BATU KANTOMEN,90004709,80000351,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.226854, 101.671747)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(796938, 357058)","(796938, 357058)",,17:00:00,,- Invalid -
932 KOMPENI ANGKUT,80000339,"03-2314738( DUTY OFFICER), JALAN GURNEY,",KUALA LUMPUR,54100,PSK,COMNAT,,PEN,,135070148,,21840,1111110,,"(3.167865, 101.721078)",CO,,,Default,932 KOMPENI ANGKUT,90004709,80000339,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.167865, 101.721078)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(802442, 350545)","(802442, 350545)",,17:00:00,,- Invalid -
95 DEPOT KENDERAAN A TEBRAU,80006782,"KEM TEBRAU, ,",JOHORE BHARU,80990,JOH,COMNAT,,PEN,,135070148,,27300,1111110,,"(1.594932, 103.809064)",CO,,,Default,95 DEPOT KENDERAAN A TEBRAU,90004713,80006782,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(1.594932, 103.809064)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(1035555, 176915)","(1035555, 176915)",,17:00:00,,- Invalid -
AALBORG PORTLAND MALAYSIA SDN BHD,90042563,"LOT 75244, PINJI ESTATE,",IPOH,31650,PER,NORTH1,NORTH,PEN,ismail_jamal@petronas.com.my,,,21840,1111100,,"(4.522064, 101.077823)",CO,,,Default,AALBORG PORTLAND MALAYSIA SDN BHD,90042563,90042563,D001,,,Invalid,,8:00:00,,12:30:00,,14:00:00,,,FALSE,"(4.522064, 101.077823)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,18/12/14 21:06,Malaysia,"(730545, 500164)","(730545, 500164)",,15:00:00,,- Invalid -
ABSM PETROENERGY SDN BHD,90041614,"15-1B, JALAN OS 1, ONE SIERRA,",BATU CAVES,68100,SEL,SOUTH1,,PEN,fazila.molok@petronas.com.my,166998558,,32760,1111110,,"(3.237846, 101.684067)",CO,,,Default,ABSM PETROENERGY SDN BHD,90041614,90041614,D001,,,Invalid,,9:00:00,,,,,,,FALSE,"(3.237846, 101.684067)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M829,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(798305, 358278)","(798305, 358278)",,17:00:00,,- Invalid -
ACP (M) SDN BHD,80035467,"T/L: 05-3216479, LOT 31465 10 KM JALAN LAHAT,",LAHAT,31500,PER,CENTR1,,PEN,faisal_atar@petronas.com.my,361951111,,16380,1111110,,"(4.580060, 101.090251)",CO,,,Default,ACP (M) SDN BHD,90032523,80035467,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.580060, 101.090251)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M817,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(731906, 506583)","(731906, 506583)",,17:00:00,,- Invalid -
ACP (M) SDN BHD,80035466,"T/L: 06-7642077 LOT 9020-9022, KM. 8 JALAN JELEBU MUKIM AMPANGAN,",SEREMBAN,70400,SER,CENTR1,,PEN,,67642077,,16380,1111110,,"(2.718990, 101.949027)",CO,,,Default,ACP (M) SDN BHD,90032523,80035466,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.718990, 101.949027)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(827931, 300933)","(827931, 300933)",,17:00:00,,- Invalid -
ADVANCECON INFRA SDN BHD,90043190,"16 & 18 JALAN PEKAKA 8/3, SEKSYEN 8, KOTA DAMANSARA,",PETALING JAYA,47810,SEL,CENTR1,CENTRAL,PEN,zareef.hamdan@petronas.com.my,,,,1111111,,"(3.174703, 101.574841)",CO,,,Default,ADVANCECON INFRA SDN BHD,90043190,90043190,D001,,,Invalid,,0:00:00,,,,,,,FALSE,"(3.174703, 101.574841)",STARSPRD01_ImportServer,11/10/16 1:05,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,27/03/15 15:06,Malaysia,"(786175, 351260)","(786175, 351260)",,23:59:59,,- Invalid -
AEON CO. (M) BHD,90044763,"AEON MALL KOTA BHARU, 2ND FLOOR, MANAGEMENT OFFICE, KAMPUNG LEMBAH SIREH",KOTA BHARU,15050,KEL,EAST1,EAST,PEN,mohdimran.ibrahim@petronas.com.my,016-2320005,,16 TAN,1111111,,"(6.111644, 102.230169)",LG,,,Default,AEON CO. (M) BHD,90044763,90044763,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.111644, 102.230169)",STARSPRD01_ImportServer,19/07/16 1:03,,,FALSE,,LG,M81A,,Commercial,STARSPRD01_ImportServer,14/04/16 14:22,Malaysia,"(857594, 676620)","(857594, 676620)",,17:00:00,,- Invalid -
AEROKLEEN SERVICES SDN BHD,80032460,"COMPLEX B, SUBANG AIRPORT,, MALAYSIA AIRLINES (Beside Security Post), SUBANG",SUBANG AIRPORT,47200,SEL,CENTR1,,PEN,kamarul_azhar@petronas.com.my,193108470,,10920,1111110,,"(2.732877, 101.720738)",CO,,,Default,AEROKLEEN SERVICES SDN BHD,90015855,80032460,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.732877, 101.720738)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(802522, 302410)","(802522, 302410)",,17:00:00,,- Invalid -
