Name,ForeignID,Default terminal,Monthly Diesel Quota,Street,Bandar,State,District,"Region (North, South, East or Central)",Email,Telephone,Accessibilty Roadtanker,Next Critical Stock,"Latitude/Longitude, Road",Status,Sold to Name,Sold to ID,ShipTo ID,Sales Organisation for SAP field,Postcode,"Position Method, Road","Position Method, Home",POI,Planned Trips,Overridden terminal for 97,Order Type 2,Order Type 1,Opening time,No delivery start 2,No delivery start 1,No delivery end 2,No delivery end 1,Name2,Mobile,Marked for export,"Latitude/Longitude, Home",Last Visit,Last changed by user,Last changed,Just in Time + 1,Just in Time,House Suffix,House Number,GPS-validated,Fax,Division for SAP field,Distribution Channel for SAP field,CUSTOMERINFOTEXT23,Customer type,Customer Group,Created by user,Created,Country Code,Country,"Coordinate, Road","Coordinate, Home",Contact Name,Consolidation Group,Closing time,Binary opening weekdays string,Alternative Street,Address District
FADHLYN ENTERPRISE,90040750,M808,68312,"STESEN SERVIS PETRONAS, LOT PT 12850, HS(D) 8220 PRECINT 18,",PUTRAJAYA,PSK,CENTR3,CENTRAL,zamrul_ali@petronas.com.my,123353352,32760,11/10/16 11:18,"(2.920364, 101.694930)",Default,FADHLYN ENTERPRISE,90040750,90040750,D001,62100,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,16:30:00,6:30:00,19:30:00,9:30:00,,,FALSE,"(2.920364, 101.694930)",(Invalid),STARSPRD01_ImportServer,09/10/16 9:19,12/10/16 22:39,11/10/16 11:18,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(799602, 323150)","(799602, 323150)",,- Invalid -,23:59:00,1111111,,- Invalid -
FAI AIDA ENTERPRISE,90043905,M818,49920,"STESEN MINYAK PETRONAS, JALAN KELAB CINTA SAYANG,",SUNGAI PETANI,KED,NORTH1,NORTH,jaimurali.m@petronas.com.my,,43680,13/10/16 21:37,"(5.653449, 100.511883)",Default,FAI AIDA ENTERPRISE,90043905,90043905,D001,8000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(5.653449, 100.511883)",(Invalid),STARSPRD01_ImportServer,07/10/16 1:05,13/10/16 21:37,12/10/16 19:26,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,04/09/15 11:59,PEN,Malaysia,"(667441, 625114)","(667441, 625114)",,- Invalid -,23:59:00,1111111,,- Invalid -
FAJAR FIRASAT ENTERPRISE,90033896,M808,431340,"KM 34.5 KESAS HIGHWAY (EAST), ,",SHAH ALAM,SEL,CENTR1,CENTRAL,suffian_abu@petronas.com.my,193293335,54600,11/10/16 16:28,"(3.048539, 101.561481)",Default,FAJAR FIRASAT ENTERPRISE,90033896,90033896,D001,40000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.048539, 101.561481)",(Invalid),STARSPRD01_ImportServer,10/10/16 11:08,13/10/16 14:41,11/10/16 16:28,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(784723, 337297)","(784723, 337297)",,- Invalid -,23:59:00,1111111,,- Invalid -
FARDZHA ENERGY PIT STOP,90043585,M839,158340,"KM 3, JALAN CHEROH, ,",RAUB,PAH,EAST2,EAST,asree_asmoe@petronas.com.my,196663637,43680,13/10/16 5:51,"(3.807784, 101.847297)",Default,FARDZHA ENERGY PIT STOP,90043585,90043585,D001,27600,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.807784, 101.847297)",(Invalid),STARSPRD01_ImportServer,11/10/16 9:38,13/10/16 14:35,12/10/16 1:41,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,29/06/15 11:20,PEN,Malaysia,"(816268, 421403)","(816268, 421403)",,- Invalid -,24:00:00,1111111,,- Invalid -
FARHAN ENTERPRISE,90009825,M808,33851,"STESEN SERVIS PETRONAS, LOT 3164 TAMAN MEDAN 11, JALAN KLANG LAMA","PETALING JAYA, SELANGOR",SEL,CENTR2,CENTRAL,faliq_farouk@petronas.com.my,192205107,43680,15/10/16 2:25,"(3.074500, 101.637340)",Default,FARHAN ENTERPRISE,90009825,90009825,D001,46000,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(3.074500, 101.637340)",(Invalid),STARSPRD01_ImportServer,06/10/16 11:44,15/10/16 2:25,13/10/16 7:56,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(793154, 340190)","(793154, 340190)",,- Invalid -,23:59:00,1111111,,- Invalid -
FAROZA PETRO ENTERPRISE,90036225,M829,136500,"LOT 20144,21228 HS(D) 259045, JALAN DATIN HALIMAH,",JOHOR BAHRU,JOH,SOUTH2,SOUTH,mustaffa.zakaria@petronas.com.my,197299788,54600,12/10/16 6:17,"(1.499296, 103.736124)",Default,FAROZA PETRO ENTERPRISE,90036225,90036225,D001,80100,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(1.499296, 103.736124)",(Invalid),STARSPRD01_ImportServer,09/10/16 15:12,14/10/16 13:12,12/10/16 6:17,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(1027437, 166289)","(1027437, 166289)",,- Invalid -,23:59:00,1111111,,- Invalid -
FAWZIA RAZAK ENTERPRISE,90034682,M818,81900,"NO. 398, JALAN TUPAI, ,",TAIPING,PER,NORTH2,NORTH,muhammad_sulaiman@petronas.com.my,164160355,43680,12/10/16 23:18,"(4.840146, 100.748284)",Default,FAWZIA RAZAK ENTERPRISE,90034682,90034682,D001,34000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(4.840146, 100.748284)",(Invalid),STARSPRD01_ImportServer,09/10/16 12:13,12/10/16 23:18,11/10/16 23:49,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(693881, 535244)","(693881, 535244)",,- Invalid -,23:59:00,1111111,,- Invalid -
FAYAKUN RESOURCES,90036101,M839,87360,"LOT 1283, MUKIM SUNGAI KARANG, JALAN UTAMA KTN _ KTRG,",KUANTAN,PAH,EAST2,EAST,azrio@petronas.com.my,199190099,43680,12/10/16 4:15,"(4.105090, 103.381664)",Default,FAYAKUN RESOURCES,90036101,90036101,D001,26080,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(4.105090, 103.381664)",(Invalid),STARSPRD01_ImportServer,08/10/16 16:00,16/10/16 5:11,12/10/16 4:15,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(986800, 455078)","(986800, 455078)",,- Invalid -,23:59:00,1111111,,- Invalid -
FAZLIM SERVICE STATION,90017010,M828,120120,"LOT 815, JALAN ROMPIN, ,",BAHAU,SER,SOUTH1,SOUTH,sahar_saian@petronas.com.my,126060117,43680,11/10/16 17:13,"(2.809456, 102.405689)",Default,FAZLIM SERVICE STATION,90017010,90017010,D001,72100,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.809456, 102.405689)",(Invalid),STARSPRD01_ImportServer,11/10/16 10:01,(Invalid),11/10/16 17:13,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,09/12/14 21:53,PEN,Malaysia,"(878739, 311084)","(878739, 311084)",,- Invalid -,23:59:00,1111111,,- Invalid -
FAZRIN MURNI SERVICE STATION,90042689,M838,87360,"LOT 599, KAMPUNG GAUNG, ,",PASIR MAS,KEL,EAST1,EAST,fairuz.shamsuri@petronas.com.my,,43680,12/10/16 22:21,"(6.025082, 102.121426)",Default,FAZRIN MURNI SERVICE STATION,90042689,90042689,D001,17000,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(6.025082, 102.121426)",(Invalid),STARSPRD01_ImportServer,11/10/16 6:57,13/10/16 14:42,12/10/16 8:59,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,19/03/15 21:04,PEN,Malaysia,"(845599, 666966)","(845599, 666966)",,- Invalid -,22:30:00,1111111,,- Invalid -
FELDA TRADING SDN BHD,90001324,M828,202020,"BANDAR BARU SERTING, ,",BAHAU,SER,SOUTH1,SOUTH,sahar_saian@petronas.com.my,199883419,43680,12/10/16 7:11,"(2.892874, 102.409429)",Default,FELDA TRADING SDN BHD,90001324,90001324,D001,72100,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.892874, 102.409429)",(Invalid),STARSPRD01_ImportServer,11/10/16 9:10,(Invalid),12/10/16 7:11,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(879128, 320322)","(879128, 320322)",,- Invalid -,23:59:00,1111111,,- Invalid -
FELDA TRADING SDN BHD,80004633,M828,49140,"STESEN MINYAK PETRONAS MOAKIL, FELDA MOAKIL,",LABIS (07-9281281),JOH,SOUTH1,SOUTH,zaimig@petronas.com.my,178262383,27300,15/10/16 22:23,"(2.294287, 102.971725)",Default,FELDA TRADING SDN BHD,90000646,80004633,D001,85300,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(2.294287, 102.971725)",(Invalid),STARSPRD01_ImportServer,07/10/16 11:40,(Invalid),15/10/16 22:23,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(941957, 254203)","(941957, 254203)",,- Invalid -,22:00:00,1111111,,- Invalid -
FELDA TRADING SDN BHD,80006725,M828,65520,"STESEN MINYAK PETRONAS CHAAH, LOT PTD 2052 MUKIM CHAAH,",CHAAH (07-9261393),JOH,SOUTH1,SOUTH,mhanapi_kariah@petronas.com.my,195738766,43680,13/10/16 23:54,"(2.248963, 103.039749)",Default,FELDA TRADING SDN BHD,90016481,80006725,D001,85400,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(2.248963, 103.039749)",(Invalid),STARSPRD01_ImportServer,11/10/16 9:57,(Invalid),13/10/16 23:54,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(949553, 249202)","(949553, 249202)",,- Invalid -,22:00:00,1111111,,- Invalid -
FELDA TRADING SDN BHD,90014723,M828,114660,"STESEN SERVIS PETRONAS, FELDA PALONG 14,15 & 16, JLN BAHAU-KERATONG",BAHAU,SER,SOUTH1,SOUTH,sahar_saian@petronas.com.my,126128464,43680,14/10/16 9:33,"(2.897681, 102.619828)",Default,FELDA TRADING SDN BHD,90014723,90014723,D001,72100,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(2.897681, 102.619828)",(Invalid),STARSPRD01_ImportServer,10/10/16 9:17,(Invalid),14/10/16 9:33,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(902553, 320927)","(902553, 320927)",,- Invalid -,23:59:00,1111111,,- Invalid -
FELDA TRADING SDN BHD,90000573,M829,98280,"STESEN MINYAK PETRONAS BT WAHA, FELDA BUKIT WAHA,",KOTA TINGGI,JOH,SOUTH2,SOUTH,syazwan_fikri@petronas.com.my,137512271,43680,13/10/16 5:47,"(1.740330, 104.058084)",Default,FELDA TRADING SDN BHD,90000573,90000573,D001,81900,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(1.740330, 104.058084)",(Invalid),STARSPRD01_ImportServer,10/10/16 9:23,14/10/16 0:58,12/10/16 7:28,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,18/12/14 18:04,PEN,Malaysia,"(1063316, 193116)","(1063316, 193116)",,- Invalid -,23:59:00,1111111,,- Invalid -
FELDA TRADING SDN BHD,90000653,M828,65520,"BATU ANAM, ,",SEGAMAT,JOH,SOUTH1,SOUTH,sahar_saian@petronas.com.my,199217525,27300,14/10/16 19:55,"(2.701354, 102.685539)",Default,FELDA TRADING SDN BHD,90000653,90000653,D001,85100,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(2.701354, 102.685539)",(Invalid),STARSPRD01_ImportServer,10/10/16 21:53,(Invalid),14/10/16 19:55,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:39,PEN,Malaysia,"(909939, 299205)","(909939, 299205)",,- Invalid -,22:00:00,1111111,,- Invalid -
FELDA TRADING SDN BHD,90016482,M829,229320,"STESEN MINYAK PETRONAS MERSING, LOT 1033, JALAN ENDAU,",MERSING,JOH,SOUTH2,SOUTH,syazwan_fikri@petronas.com.my,137535664,54600,11/10/16 11:18,"(2.435067, 103.834418)",Default,FELDA TRADING SDN BHD,90016482,90016482,D001,86800,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(2.435067, 103.834418)",(Invalid),STARSPRD01_ImportServer,11/10/16 7:13,13/10/16 19:04,11/10/16 11:18,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,18/12/14 17:54,PEN,Malaysia,"(1038108, 270116)","(1038108, 270116)",,- Invalid -,23:59:00,1111111,,- Invalid -
FH INTECH,90036280,M818,109200,"LOT 3932 TMN SERAI WANGI, PADANG SERAI, ,",KULIM,KED,NORTH1,NORTH,ong.weihan@petronas.com.my,196189868,43680,14/10/16 6:47,"(5.516021, 100.545763)",Default,FH INTECH,90036280,90036280,D001,90000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(5.516021, 100.545763)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:51,14/10/16 16:54,13/10/16 9:12,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(671234, 609927)","(671234, 609927)",,- Invalid -,23:59:00,1111111,,- Invalid -
FHRH ENTERPRISE,90033330,M828,49140,"LOT 1206 & 950 JLN RAHMAT, ,",BATU PAHAT,JOH,SOUTH2,SOUTH,gan_mingyu@petronas.com.my,193659536,43680,14/10/16 12:00,"(1.847866, 102.935082)",Default,FHRH ENTERPRISE,90033330,90033330,D001,83000,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(1.847866, 102.935082)",(Invalid),STARSPRD01_ImportServer,11/10/16 1:05,15/10/16 18:31,11/10/16 22:06,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(937996, 204731)","(937996, 204731)",,- Invalid -,23:59:00,1111111,,- Invalid -
FIEZMA ENTERPRISE,90037537,M829,114660,"LOT 6992 TAMAN DESA JAYA, ,",JOHOR BAHRU,JOH,SOUTH2,SOUTH,faliq_farouk@petronas.com.my,197403304,43680,(Invalid),"(1.557202, 103.801587)",Default,FIEZMA ENTERPRISE,90037537,90037537,D001,81100,,,Invalid,0,,- Invalid -,Retail_Delivery,6:00:00,,,,,,,FALSE,"(1.557202, 103.801587)",(Invalid),abuubaida_mfakir_STARSPRDXMI_2,19/09/16 8:15,(Invalid),(Invalid),,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(1034730, 172728)","(1034730, 172728)",,- Invalid -,23:59:00,1111111,,- Invalid -
FIKRAH JITU ENTERPRISE,90039620,M808,82144,"LOT PT 1773 TAMAN PETALING UTAMA, KM 11, JLN KLANG LAMA,",PETALING JAYA,SEL,CENTR2,CENTRAL,faliq_farouk@petronas.com.my,192828536,54600,13/10/16 3:25,"(3.079266, 101.646882)",Default,FIKRAH JITU ENTERPRISE,90039620,90039620,D001,46000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,16:30:00,6:30:00,19:30:00,9:30:00,,,FALSE,"(3.079266, 101.646882)",(Invalid),STARSPRD01_ImportServer,06/10/16 10:02,14/10/16 8:48,12/10/16 8:30,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(794214, 340720)","(794214, 340720)",,- Invalid -,23:59:00,1111111,,- Invalid -
FIZZILI SERVICES,90040723,M808,267540,"LOT PT 812,HS(D) 240429, SEKSYEN 15, PERSIARAN SELANGOR,",SHAH ALAM,SEL,CENTR1,CENTRAL,faiz_zaki@petronas.com.my,122369866,43680,14/10/16 4:22,"(3.063504, 101.524610)",Default,FIZZILI SERVICES,90040723,90040723,D001,40000,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.063504, 101.524610)",(Invalid),STARSPRD01_ImportServer,09/10/16 23:15,14/10/16 4:22,12/10/16 12:08,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(780618, 338943)","(780618, 338943)",,- Invalid -,23:59:00,1111111,,- Invalid -
FRZ GLOBAL ENTERPRISE,90043006,M818,131040,"STESEN PETRONAS LOT 6, JALAN SIMPANG, ,",TAIPING,PER,NORTH2,NORTH,muhammad_sulaiman@petronas.com.my,010-4040145,43680,13/10/16 9:35,"(4.831850, 100.725375)",Default,FRZ GLOBAL ENTERPRISE,90043006,90043006,D001,34600,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(4.831850, 100.725375)",(Invalid),STARSPRD01_ImportServer,09/10/16 12:29,(Invalid),13/10/16 9:35,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,21/01/16 7:57,PEN,Malaysia,"(691342, 534320)","(691342, 534320)",,- Invalid -,23:59:00,1111111,,- Invalid -
FS HERITAGE ENTERPRISE,90036953,M808,43680,"LOT 7380-81 JALAN SS 17 /2, ,",SUBANG JAYA,SEL,CENTR1,CENTRAL,alfuzi_hamid@petronas.com.my,122839659,43680,17/10/16 1:17,"(3.073872, 101.584233)",Default,FS HERITAGE ENTERPRISE,90036953,90036953,D001,47500,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.073872, 101.584233)",(Invalid),STARSPRD01_ImportServer,08/10/16 10:06,(Invalid),17/10/16 1:17,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(787247, 340106)","(787247, 340106)",,- Invalid -,23:59:00,1111111,,- Invalid -
FUAD ENTERPRISE,90034042,M829,447720,"PLOT 10 R & R SKUDAI ARAH UTARA, ,",JOHOR BAHRU,JOH,SOUTH2,SOUTH,,167713269,54600,11/10/16 11:18,"(1.579356, 103.650734)",Default,FUAD ENTERPRISE,90034042,90034042,D001,81300,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(1.579356, 103.650734)",(Invalid),STARSPRD01_ImportServer,09/10/16 19:11,12/10/16 3:10,11/10/16 11:18,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(1017887, 175147)","(1017887, 175147)",,- Invalid -,23:59:00,1111111,,- Invalid -
GALAS BUDI ENTERPRISE,90039636,M817,38220,"LOT 2056 JALAN BESAR MANONG, ,",KUALA KANGSAR.,PER,NORTH2,NORTH,muhammad_sulaiman@petronas.com.my,125162922,43680,14/10/16 11:30,"(4.597386, 100.881365)",Default,GALAS BUDI ENTERPRISE,90039636,90039636,D001,33800,,,Invalid,0,,- Invalid -,Retail_Delivery,6:30:00,,,,,,,FALSE,"(4.597386, 100.881365)",(Invalid),STARSPRD01_ImportServer,07/10/16 9:06,(Invalid),14/10/16 11:30,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(708717, 508435)","(708717, 508435)",,- Invalid -,22:30:00,1111111,,- Invalid -
GANDA MESRA ENTERPRISE,90036751,M808,54600,"NO.2, JALAN AKUATIK 13/64A, SEKSYEN 13, ,",SHAH ALAM,SEL,CENTR1,CENTRAL,faiz_zaki@petronas.com.my,136150047,54600,13/10/16 7:49,"(3.078346, 101.546816)",Default,GANDA MESRA ENTERPRISE,90036751,90036751,D001,40100,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.078346, 101.546816)",(Invalid),STARSPRD01_ImportServer,08/10/16 9:59,13/10/16 7:49,12/10/16 4:06,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(783084, 340591)","(783084, 340591)",,- Invalid -,23:59:00,1111111,,- Invalid -
GANJARAN BUDI ENTERPRISE,90038474,M839,305760,"LOT 105826, BT 10, JLN KUANTAN-, GAMBANG, MKM KUALA KUANTAN,",KUANTAN,PAH,EAST2,EAST,kyairul_anuas@petronas.com.my,169862555,43680,13/10/16 13:48,"(3.744463, 103.187917)",Default,GANJARAN BUDI ENTERPRISE,90038474,90038474,D001,25150,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.744463, 103.187917)",(Invalid),STARSPRD01_ImportServer,10/10/16 15:24,15/10/16 1:11,12/10/16 6:42,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(965436, 414994)","(965436, 414994)",,- Invalid -,23:59:00,1111111,,- Invalid -
GASING MEWAH ENTERPRISE,90037488,M828,819582,"KM 274.4 LEBUHRAYA, KUALA LUMPUR - SEREMBAN,",SEREMBAN,SER,CENTR3,CENTRAL,kamal_aznizam@petronas.com.my,133804949,54600,12/10/16 22:16,"(2.763578, 101.831280)",Default,GASING MEWAH ENTERPRISE,90037488,90037488,D001,70700,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.763578, 101.831280)",(Invalid),STARSPRD01_ImportServer,10/10/16 21:45,(Invalid),12/10/16 22:16,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(814815, 305836)","(814815, 305836)",,- Invalid -,23:59:00,1111111,,- Invalid -
GERAK DAYA ENTERPRISE,90034418,M828,196560,"LOT 2172 JLN TAMPIN-S&apos;BAN MUKIM RANTAU, ,",SEREMBAN,SER,SOUTH1,SOUTH,,193258261,43680,13/10/16 0:16,"(2.678668, 101.978048)",Default,GERAK DAYA ENTERPRISE,90034418,90034418,D001,70450,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.678668, 101.978048)",(Invalid),STARSPRD01_ImportServer,11/10/16 10:56,(Invalid),13/10/16 0:16,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(831172, 296478)","(831172, 296478)",,- Invalid -,23:59:00,1111111,,- Invalid -
GERAK DAYA ENTERPRISE (2),90034854,M828,65520,"STESEN SERVIS PETRONAS, BATU 4 1/2 JLN TAMPIN,",SEREMBAN,SER,SOUTH1,SOUTH,,193258261,43680,13/10/16 9:26,"(2.679019, 101.978920)",Default,GERAK DAYA ENTERPRISE (2),90034854,90034854,D001,70450,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(2.679019, 101.978920)",(Invalid),STARSPRD01_ImportServer,09/10/16 11:48,(Invalid),13/10/16 9:26,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(831269, 296517)","(831269, 296517)",,- Invalid -,23:59:00,1111111,,- Invalid -
GHAZ PETROL SERVICE STATION,90033488,M839,70980,"LOT 2062, TANJUNG LUMPUR, ,",KUANTAN,PAH,EAST2,EAST,kyairul_anuas@petronas.com.my,169209260,43680,13/10/16 11:55,"(3.796525, 103.335284)",Default,GHAZ PETROL SERVICE STATION,90033488,90033488,D001,26060,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(3.796525, 103.335284)",(Invalid),STARSPRD01_ImportServer,10/10/16 11:35,(Invalid),13/10/16 11:55,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(981816, 420845)","(981816, 420845)",,- Invalid -,23:59:00,1111111,,- Invalid -
GHAZALI BIN AYOB,90009542,M818,54600,"LOT 2840 MK 12 PTG BERANGAN, TASEK GELUGOR,",SEBERANG PERAI UTARA.,PIN,NORTH1,NORTH,,134090777,43680,13/10/16 23:47,"(5.484606, 100.488321)",Default,GHAZALI BIN AYOB,90009542,90009542,D001,13300,,,Invalid,0,,- Invalid -,Retail_Delivery,6:30:00,,,,,,,FALSE,"(5.484606, 100.488321)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:57,13/10/16 23:47,12/10/16 20:04,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,09/12/14 21:53,PEN,Malaysia,"(664878, 606437)","(664878, 606437)",,- Invalid -,23:00:00,1111111,,- Invalid -
GOLDEN HILL PETROLEUM,90041964,M829,322140,"LOT 110909 & 110910 MKM PLENTONG, LEBUHRAYA PASIR GUDANG, BANDAR SERI ALAM",MASAI,JOH,SOUTH2,SOUTH,saifullyz.dzulkifli@petronas.com.my,,43680,11/10/16 11:49,"(1.502660, 103.853985)",Default,GOLDEN HILL PETROLEUM,90041964,90041964,D001,81750,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(1.502660, 103.853985)",(Invalid),STARSPRD01_ImportServer,10/10/16 18:48,13/10/16 3:29,11/10/16 11:49,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:41,PEN,Malaysia,"(1040593, 166691)","(1040593, 166691)",,- Invalid -,23:59:00,1111111,,- Invalid -
GOLDEN POWER POINT,90034808,M829,283920,"LOT PTD 105660 HSM(M) 3316, LEBUH RAYA PASIR GUDANG,",JOHOR BAHRU,JOH,SOUTH2,SOUTH,mustaffa.zakaria@petronas.com.my,177773383,54600,11/10/16 14:17,"(1.522470, 103.730772)",Default,GOLDEN POWER POINT,90034808,90034808,D001,81100,,,Invalid,0,,- Invalid -,Retail_Delivery,0:00:00,,,,,,,FALSE,"(1.522470, 103.730772)",(Invalid),STARSPRD01_ImportServer,10/10/16 8:19,13/10/16 4:04,11/10/16 14:17,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,07/12/14 15:40,PEN,Malaysia,"(1026834, 168858)","(1026834, 168858)",,- Invalid -,23:59:00,1111111,,- Invalid -
GOLDRUSH GLOBAL ENTERPRISE,90044213,M828,43680,"LOT PT 8414 HM (M) 38, MUKIM CHENG, DAERAH MELAKA TENGAH",MELAKA TENGAH,MEL,SOUTH1,SOUTH,,173721304,54600,12/10/16 21:33,"(2.257371, 102.222582)",Default,GOLDRUSH GLOBAL ENTERPRISE,90044213,90044213,D001,75250,,,Invalid,0,,- Invalid -,Retail_Delivery,0:01:00,,,,,,,FALSE,"(2.257371, 102.222582)",(Invalid),STARSPRD01_ImportServer,10/10/16 10:46,(Invalid),12/10/16 21:33,,,FALSE,,FL,RE,,ASR,- Invalid -,STARSPRD01_ImportServer,31/12/15 11:28,PEN,Malaysia,"(858506, 249906)","(858506, 249906)",,- Invalid -,23:59:00,1111111,,- Invalid -
